Item,Rows,Must state,A third party checks
EO-1 Isolation statement,"0, A","every shared service reachable from an evaluation sandbox, with its mode (none / read-only / per-run namespace / shared writable, the last justified); the egress class (no egress / brokered allow-list / single proxy); whether one compromised service alone yields internet or internal-network reach","existence, specificity, hash; a canary endpoint for outbound reach"
EO-2 Detection and escalation criteria,"0, I","the triggers that page a human, naming cross-run coordination content and disallowed egress; the response deadline per severity and the pause rule; who may stop a run and who may restart it","existence, specificity, hash"
EO-3 Retention policy,7,full transcripts and shared-store snapshots kept for the campaign plus the disclosure window; container resets do not truncate; completeness reported after an incident,"existence, hash; the completeness figure after an incident"
EO-4 Scorer policy,9,"blocked and impossible reports accepted without penalty; the share of tasks without a known solution known and bounded, the bound pre-registered","existence, hash; the pressure ladder on a public model"
EO-5 Responder-tooling statement,8,"a forensic path that completes an authorized task set within stated limits, exercised in a drill; the date of the last drill","existence, hash"
PO-1 Data-processing policy,"C, D",no template evaluation in data fields; no external references resolved from user data; a worker's local-file access treated as privileged; secret scanning replicates attacker encodings,"existence, hash; the benign probe dataset, coordinated"
PO-2 Identity and credential policy,"C/F, F1, F5, F6, F8",workload identity; no static passwords in pod environments; the metadata service blocked per pod; secret objects partitioned by trust domain; connector credentials cluster-scoped; token-origin anomaly detection,attestation
PO-3 Admission policy,F4,the configuration itself: privileged and hostPath pods rejected; storage-driver ClusterRoles scoped,"existence, hash — publishable in full"
PO-4 Network and enrolment policy,"E, G, H",enrolment rate limits; refusal of telemetry-suppressed enrolments; ACL scoping; the egress policy for platform-hosted proxy services; alerting on queries for the platform's own identifiers,"existence, hash"
PO-5 Source-control and CI policy,G,app scopes; the CI execution policy; PR and workflow-change alerting,"existence, hash"
PO-6 Detection and escalation criteria,I,what pages a human; the criticality rule for correlated signals,"existence, hash"
PO-7 Tenant code-execution inventory,B,for a provider hosting tenant code execution: an inventory and attestation of endpoints that expose code execution; canary credentials in public harnesses,attestation; canary firing
