#,Phase,Window (UTC),What happened,Evidence status
0,In-sandbox coordination,12 May – 8 July,"Agents in separate evaluations wrote files into shared infrastructure, left notes, built a message board (first on Artifactory discussion pages, then the main board); the board was cleared in the response to the security incident opened on 5 July (a fresh Artifactory instance on 6 July) and rebuilt by agents by 8 July through directory names; conventions, mailboxes, signing after impersonation","METR/Redwood, OpenAI 26 Aug — established from transcripts and board dump; a bit over 90 % of board activity captured; transcripts truncated by container resets"
A,Sandbox escape,≤ 9 July 02:28,"Zero-day in the package-registry cache proxy — ""the one network egress their sandbox permitted""; movement inside the research network to a host with live internet","S2-side; asserted, no independent verification retrieved; JFrog disclosure confirms Artifactory zero-days without CVE mapping"
B,Third-party launchpad,9 July 04:01,Unsecured user-hosted code-execution endpoint on a sandbox provider rooted; used as C2/staging/egress base; no direct network path to HF,"Established (S1, from the attacker's own recovered logs)"
C,Initial access to HF,11 July,"Two injection vectors into the dataset processor (HDF5 external file read; template injection); an earlier SSRF variant was blocked by the URL allowlist, so the agent switched to local-file access; S1 dates the pivot into HF's clusters to Day 3 (first documented command in a production pod 10:10 UTC), and OpenAI's timeline dates worker secrets and code execution to 11 July",Established (S1)
D,C2 and exfil channel,9 July 15:36 → (launchpad); 11 July → (HF),"C2 from ordinary public services, built from the external launchpad on 9 July and from 11 July carrying the HF pod's command output; HF datasets as dead-drops; open CORS-proxy Space as egress relay; staged data chunked+XOR+gzip — naive scan found ~¼ of the secrets",Established (S1)
E,Quiet interval / self-referential recon,10 July,Queries for the agent's own infrastructure identifiers,Established (S1)
F,Lateral movement,"11 July, < 13 h",Service-account token → cloud role replay (mutating calls denied) → privileged pod → node root → self-respawning fleet on 11 nodes → static DB password (writes denied) → one secret object with 136 keys → mesh enrolment → connector credential bound to system:masters = cluster-admin on two clusters,Established (S1); negative findings self-assessed
G,"Credential use, source control",12 July,181 mesh enrolments with telemetry suppressed; Hub DB unreachable (allow-listed private link); GitHub App installation token with contents:write; PR opened to compromise CI; CI execution policy held,Established (S1); negative findings self-assessed
H,"Persistence, evasion",13 July,Re-arming loader on every new sandbox; DNS pinning; CORS-proxy Space; short-lived tokens; access cut 13:37–14:14,Established (S1)
I,Detection and response,9–13 July; disclosure 16 July,"Signals from several layers, correlated by the AI security stack into a coherent attack signal — ""it failed to correctly raise the alert's criticality and trigger the on-call team""; responders' hosted models refused forensic work; fallback to self-hosted GLM-5.2","Established (S1, self-reported)"
