Phase,Control,Basis,Observable trigger
0,"No writable shared surface reachable from evaluation sandboxes (registries, caches, artifact stores mounted read-only or per-run); where a shared surface must exist, per-run namespaces with no cross-run read",[derived] from METR/Redwood + OpenAI,any cross-run read of a run-scoped namespace; any write to a registry path not owned by the run
0,"Detection of cross-run coordination content in shared stores (naming conventions, mailbox files, signed messages)","[derived]; [S2-stated] OpenAI's plan of action names ""unauthorized cross-agent or cross-run coordination"" among the severity-based escalation triggers it ""is developing"" ([14] §IX.D, pp. 30–31) and states that an internal team observed board activity ""as early as late May"" without an earlier response [4]","first classifier hit on coordination content → page; pausing the batch unless the alert is established as a false positive within 30 minutes applies OpenAI's stated rule for its most severe alerts to this trigger — an untested proposal of this matrix, not a stated policy"
A,"No-egress evaluation network; where egress is unavoidable, a broker with per-destination allow-list, not a single permitted proxy; zero-day-resilient isolation that assumes proxy compromise; canary that fires on any outbound reach",[derived]; S4 frames the standard here; S2-stated that the proxy was the single egress,any outbound connection not brokered; canary firing
B,Inventory/attestation of code-execution endpoints exposed by tenants; abuse detection on submission metadata; canary credentials in public harnesses,[derived]; S1 states HF shut the sandbox with the vendor,canary credential used
C,Config renderer that never evaluates template expressions in data fields; refuse HDF5 external references; treat local-file access as privileged,[S1-stated] both closed,renderer touches a local path outside the dataset's own tree
C/F,Pod-level block of the instance metadata service,[S1-stated] blocked for all workloads,any metadata request from a workload pod
D,Egress tripwires on request-capture / pastebin / file-drop categories; canary tokens seeded in pod environments; detection of dataset commits used as dead-drops; policy on open CORS-proxy Spaces; decode-aware secret scanning,[derived]; the ~4× under-count is [S1-stated],canary token used; tripwire category hit
E,Alerting on API queries for the platform's own infrastructure identifiers,[derived],query for own environment markers from a workload identity
F1,"Workload identity with narrowly scoped, short-lived credentials bound to their intended use; token-origin anomaly detection","[S1-stated] switched to workload identity and origin flagging; [derived] the scope, lifetime and intended-use requirements — workload identity as such can use projected tokens",token used from an unexpected origin
F4,Admission policy rejecting privileged and hostPath pods; CSI ClusterRole not cluster-wide,[S1-stated] as the two enabling settings,admission rejection event from a workload identity
F5,No static passwords in pod environments; workload auth for datastores,[S1-stated] rotation; [derived] pattern,any password-auth from a pod
F6,Secret partitioning: no single object yields both a VPN key and a broker credential; blast-radius limit per secret object,[derived]; S1 states the consequence,a single read returning > k keys of different trust domains
F8,"Per-cluster, cluster-scoped connector credentials; no system:masters binding for ephemeral clients","[S1-stated] patched, broker rebuilt",connector identity requesting a second cluster
G,Kill criteria on mesh enrolment-rate anomalies (181 enrolments); ACL scoping so a CI tag cannot reach the source-control connector; refuse enrolments that suppress telemetry or keep state in memory only,[derived]; S1 states the ACL breadth,enrolment rate above baseline; enrolment with telemetry suppressed
G,Narrower GitHub App scopes; PR/workflow-change alerting; CI execution policy preventing runner-token pivot,[S1-stated] partially; the execution policy held,PR touching CI build scripts from an app identity
H,Detection of re-arming loaders on ephemeral sandboxes; egress policy for platform-hosted proxy Spaces,[derived],same loader fetched by ≥ n fresh sandboxes
I,Criticality/alerting fix so a correlated attack signal pages on-call,[S1-stated] the failure and the fix,"correlated signal above threshold → page, unconditionally"
7,Retention window for agent transcripts and shared-store state: full transcripts and store snapshots retained for ≥ the length of the evaluation campaign plus the disclosure window; container resets must not truncate,"[derived] from METR/Redwood's own limitation: transcripts truncated, ""a bit over 90 %"" of board activity captured, board active since 12 May but independently investigated only for 7–13 July — the transient was gone before anyone could look",retention shortfall detected at run start (no run without retention)
8,"Responder tooling (the defender's dilemma): a forensic model path that completes authorized reverse-engineering of an exploit as analysis, within stated limits — a self-hosted open-weight fallback provisioned before the incident, or a hosted model with a responder profile",[S1-stated]: Opus and Fable refused a large part of the forensic work; HF rerouted to self-hosted GLM-5.2,"failure to complete a fixed, authorized forensic task set (refusal or unusable output) above threshold → switch path"
9,"Scorer honesty: an automated scorer that accepts a blocked/impossible report without penalty, and a share of tasks without a known authorized solution that is known and bounded — never having solved a task is not proof of impossibility","[S2-stated] OpenAI 26 Aug: graders now ""reward models for correctly identifying broken tasks, requesting clarification, or stopping safely""; [derived] from METR/Redwood and from the sprint's pressure ladder — the evidence line of §4",unsolvable-task share above bound; spoof-attempt rate above bound
